Word,Unrelated,Image,Condition
GARBAGE,SALAD,obj173trash.png,synonym
CASSETTE,APPLE,obj084tape.png,synonym
PLANK,MOVIE,obj047wood.png,synonym
GUN,GUITAR,obj354gun.png,repetition
SEESAW,DRAWER,obj386seesaw.png,repetition
GLASS,LADDER,obj180glass.png,repetition
CUBE,ENGINE,obj118block.png,synonym
TORSO,PAPER,obj092chest.png,synonym
JACKET,UNCLE,obj220jacket.png,repetition
ROAD,POTATO,obj356road.png,repetition
WOMAN,MONTH,obj515woman.png,repetition
SHOVEL,SINGER,obj395shovel.png,repetition
INFANT,PHONE,obj017baby.png,synonym
BOOKBAG,QUEEN,obj020backpack.png,synonym
FLAME,ORANGE,obj154fire.png,synonym
PRESENT,PIANO,obj337present.png,repetition
TOWN,DINNER,obj097city.png,synonym
ROCK,HONEY,obj358rock.png,repetition
AUTOMOBILE,HOTEL,obj081car.png,synonym
GAS,BREAD,obj174gas.png,repetition
PANTS,RIVER,obj298pants.png,repetition
INSECT,MUSIC,obj039bug.png,synonym
PURSE,TENNIS,obj340purse.png,repetition
PRIEST,FAMILY,obj265priest.png,repetition
GHOST,INSECT,obj177ghost.png,repetition
COLUMN,PHOTO,obj105pillar.png,synonym
SHIP,FARMER,obj048boat.png,synonym
CHAPEL,COFFEE,obj095church.png,synonym
GROUND,COOKIE,obj162floor.png,synonym
BUCKET,PIZZA,obj292bucket.png,repetition
